"name","html_url","full_name","description","language","stars","topics"
"dotting","https://github.com/hunkim98/dotting","hunkim98/dotting","Dotting is a pixel art editor component library for react","TypeScript","40","canvas,editor,pixel,pixel-art,react"
"toonie","https://github.com/hunkim98/toonie","hunkim98/toonie","Real-time design blueprint review editor","TypeScript","18","crdt,hacktoberfest,yorkie,yorkie-js-sdk"
"voxeling","https://github.com/hunkim98/voxeling","hunkim98/voxeling","This is a 3D voxel editor that incorporates a plane editor interface","TypeScript","6",""
"nestjs-serverless-jwt-boilerplate","https://github.com/hunkim98/nestjs-serverless-jwt-boilerplate","hunkim98/nestjs-serverless-jwt-boilerplate","Nestjs + prisma + jwt + serverless boilerplate for backend server","TypeScript","6","boilerplate,jwt-authentication,nestjs,serverless"
"canvas_with_math","https://github.com/hunkim98/canvas_with_math","hunkim98/canvas_with_math","This is where I practice linear algebra by applying to html canvas","TypeScript","4","canvas,linear-algebra"
"nextjs-client-jwt-boilerplate","https://github.com/hunkim98/nextjs-client-jwt-boilerplate","hunkim98/nextjs-client-jwt-boilerplate","This is nextjs-auth-jwt-boilerplate that uses browser cookie ","TypeScript","4",""
"nextjs-admin-jwt-boilerplate","https://github.com/hunkim98/nextjs-admin-jwt-boilerplate","hunkim98/nextjs-admin-jwt-boilerplate","This is an admin page for nextjs, nestjs auth jwt boilerplate","TypeScript","3",""
"pixel_font","https://github.com/hunkim98/pixel_font","hunkim98/pixel_font","This is a repository that is about creating pixel fonts with dotting and AI","Jupyter Notebook","2",""
"dotting-genai","https://github.com/hunkim98/dotting-genai","hunkim98/dotting-genai","This is a service that uses generation AI for creating pixel art","TypeScript","2",""
"multimodal-pixels-genai","https://github.com/hunkim98/multimodal-pixels-genai","hunkim98/multimodal-pixels-genai","I use a pixel canvas for creating an image input that can be sent to a stable diffusion model alongside a text prompt","TypeScript","2",""
"pixel-art-ai","https://github.com/hunkim98/pixel-art-ai","hunkim98/pixel-art-ai","A repository for building ai for pixel art","Jupyter Notebook","2",""
"react-starter-counter","https://github.com/hunkim98/react-starter-counter","hunkim98/react-starter-counter","This is a repository for react tutorial (rendering, hooks, components)","JavaScript","1",""
"pickgeul_server","https://github.com/hunkim98/pickgeul_server","hunkim98/pickgeul_server","pickgeul_server","TypeScript","1",""
"react-alert-with-buttons","https://github.com/hunkim98/react-alert-with-buttons","hunkim98/react-alert-with-buttons","This is a library that creates alerts with clickable buttons","TypeScript","1",""
"pickgeul_client","https://github.com/hunkim98/pickgeul_client","hunkim98/pickgeul_client","pickgeul_client","TypeScript","1",""
"transformers_practice","https://github.com/hunkim98/transformers_practice","hunkim98/transformers_practice","I practice transformers with BERT","Jupyter Notebook","1",""
"zerowaste","https://github.com/hunkim98/zerowaste","hunkim98/zerowaste","this is a zerowaste project","TypeScript","1",""
"cryptogalaxy","https://github.com/hunkim98/cryptogalaxy","hunkim98/cryptogalaxy","Visualization of crptocurencies into a galaxy","TypeScript","1",""
"computer_learning_visualized","https://github.com/hunkim98/computer_learning_visualized","hunkim98/computer_learning_visualized","This project attempts to visualize the process of machine learning and deep learning using p5js","TypeScript","1",""
"pixelizer","https://github.com/hunkim98/pixelizer","hunkim98/pixelizer","A server that makes images into pixelized images","Python","1",""
"LSTM_practice","https://github.com/hunkim98/LSTM_practice","hunkim98/LSTM_practice","This is a repository where I practice lstm","Jupyter Notebook","1",""
"synopsis_lstm_multi_label","https://github.com/hunkim98/synopsis_lstm_multi_label","hunkim98/synopsis_lstm_multi_label","This is a repository where I created a LSTM model for extracting the adequate genres for a synopsis text. The model was trained on japanese anime.","Jupyter Notebook","1",""
"gan_practice","https://github.com/hunkim98/gan_practice","hunkim98/gan_practice","I practice GAN in this repository","Jupyter Notebook","1",""
"pickgeul_admin","https://github.com/hunkim98/pickgeul_admin","hunkim98/pickgeul_admin","this is pickgeul_admin","TypeScript","1",""
"palette_ai","https://github.com/hunkim98/palette_ai","hunkim98/palette_ai","extracting colors from images","Jupyter Notebook","1",""
"voka_unity","https://github.com/hunkim98/voka_unity","hunkim98/voka_unity","This is a unity app designed to help foreigners study Korean vocabularies","C#","0","education,english,vocabulary"
"CryptolabChatbot","https://github.com/hunkim98/CryptolabChatbot","hunkim98/CryptolabChatbot","This is a repository for 2023 SNU 창의통합설계 class","C++","0",""
"lge-log-analysis","https://github.com/hunkim98/lge-log-analysis","hunkim98/lge-log-analysis","lge-log-analysis","Roff","0",""
"dotting-app","https://github.com/hunkim98/dotting-app","hunkim98/dotting-app","","Swift","0",""
"stamp_tour","https://github.com/hunkim98/stamp_tour","hunkim98/stamp_tour","stamp_tour project","TypeScript","0",""
"persona_live","https://github.com/hunkim98/persona_live","hunkim98/persona_live","페르소나 성격심리 웹사이트","JavaScript","0","personality"
"ricewine","https://github.com/hunkim98/ricewine","hunkim98/ricewine","","JavaScript","0",""
"dotting-test","https://github.com/hunkim98/dotting-test","hunkim98/dotting-test","This is a repository for testing the local version of dotting in a react project","TypeScript","0",""
"aishortform_proxy","https://github.com/hunkim98/aishortform_proxy","hunkim98/aishortform_proxy","This is a proxy server for aishortform","TypeScript","0",""
"statistics","https://github.com/hunkim98/statistics","hunkim98/statistics","This is a repostory for studying statistics","Jupyter Notebook","0",""
"fullstack_nodejs","https://github.com/hunkim98/fullstack_nodejs","hunkim98/fullstack_nodejs","this is what I will use when I do a fullstack project","HTML","0",""
"cryptoTree_p5js","https://github.com/hunkim98/cryptoTree_p5js","hunkim98/cryptoTree_p5js","Visual Design Project: Visualize cryptocurrency into a tree using p5js","TypeScript","0","cryptocurrency,p5js,react"
"pickgeul_ml","https://github.com/hunkim98/pickgeul_ml","hunkim98/pickgeul_ml","pickgeul machine learning","Jupyter Notebook","0",""
"pickgeul_character_recommend","https://github.com/hunkim98/pickgeul_character_recommend","hunkim98/pickgeul_character_recommend","pickgeul_character_recommend","Python","0",""
"gre-vokab","https://github.com/hunkim98/gre-vokab","hunkim98/gre-vokab","Web app for studying gre vocabulary (korean)","TypeScript","0",""
"visual_prompt","https://github.com/hunkim98/visual_prompt","hunkim98/visual_prompt","","Jupyter Notebook","0",""
"shaders","https://github.com/hunkim98/shaders","hunkim98/shaders","","JavaScript","0",""
"hunkim98","https://github.com/hunkim98/hunkim98","hunkim98/hunkim98","","","0",""
"crypto","https://github.com/hunkim98/crypto","hunkim98/crypto","crypto","Python","0",""
"vuejs-kanban-yorkie","https://github.com/hunkim98/vuejs-kanban-yorkie","hunkim98/vuejs-kanban-yorkie","","Vue","0",""
"sky-palette","https://github.com/hunkim98/sky-palette","hunkim98/sky-palette","","Jupyter Notebook","0",""
"hunkim98.github.io","https://github.com/hunkim98/hunkim98.github.io","hunkim98/hunkim98.github.io","","HTML","0",""
"hardhat-blockchain-fund","https://github.com/hunkim98/hardhat-blockchain-fund","hunkim98/hardhat-blockchain-fund","hardhat-blockchain-fundme","TypeScript","0",""
"ucfe","https://github.com/hunkim98/ucfe","hunkim98/ucfe","ucfe","Jupyter Notebook","0",""
"curves","https://github.com/hunkim98/curves","hunkim98/curves","This is a repository studying bezier curves","Jupyter Notebook","0",""
"pixel_character_gen","https://github.com/hunkim98/pixel_character_gen","hunkim98/pixel_character_gen","pixel character gen with fastapi","Python","0",""
"webnovelr","https://github.com/hunkim98/webnovelr","hunkim98/webnovelr","This is a web novel editor ","TypeScript","0",""
"comfyui_malang","https://github.com/hunkim98/comfyui_malang","hunkim98/comfyui_malang","comfyui for malang","Python","0",""
"CryptolabAdmin","https://github.com/hunkim98/CryptolabAdmin","hunkim98/CryptolabAdmin","This is a repository for admin page of cryptolab complaint","TypeScript","0",""
"roda_web","https://github.com/hunkim98/roda_web","hunkim98/roda_web","This is an outsource project for company RODA","TypeScript","0",""
"sky-capturer","https://github.com/hunkim98/sky-capturer","hunkim98/sky-capturer","This is a website that captures the pictures of the sky timely","TypeScript","0",""
"banner_sequence_ai","https://github.com/hunkim98/banner_sequence_ai","hunkim98/banner_sequence_ai","Banner Sequence AI","Jupyter Notebook","0",""
"font_gen","https://github.com/hunkim98/font_gen","hunkim98/font_gen","Font generating website with user inputted strokes","TypeScript","0",""
"enneagram_test","https://github.com/hunkim98/enneagram_test","hunkim98/enneagram_test","enneagram_test","Python","0",""
"swpp-hw3-hunkim98","https://github.com/hunkim98/swpp-hw3-hunkim98","hunkim98/swpp-hw3-hunkim98","","TypeScript","0",""
"font_gen_1","https://github.com/hunkim98/font_gen_1","hunkim98/font_gen_1","Font generation model with dezero","Python","0",""
"swpp-hw2-hunkim98","https://github.com/hunkim98/swpp-hw2-hunkim98","hunkim98/swpp-hw2-hunkim98","swpp-hw2-hunkim98","HTML","0",""
"swpp-hw4-hunkim98","https://github.com/hunkim98/swpp-hw4-hunkim98","hunkim98/swpp-hw4-hunkim98","","Python","0",""
"riggingcharacter_client","https://github.com/hunkim98/riggingcharacter_client","hunkim98/riggingcharacter_client","riggingcharacter_client","CSS","0",""
"serverless-logbert","https://github.com/hunkim98/serverless-logbert","hunkim98/serverless-logbert","serverless-logbert","Jupyter Notebook","0",""
"malng-generative-art","https://github.com/hunkim98/malng-generative-art","hunkim98/malng-generative-art","malang generative art lab","Jupyter Notebook","0",""
"aishortform","https://github.com/hunkim98/aishortform","hunkim98/aishortform","aishortform for skt","TypeScript","0",""
"django_copy","https://github.com/hunkim98/django_copy","hunkim98/django_copy","django_copy","Python","0",""
"swpp-hw1-hunkim98","https://github.com/hunkim98/swpp-hw1-hunkim98","hunkim98/swpp-hw1-hunkim98","","HTML","0",""
"coding_test","https://github.com/hunkim98/coding_test","hunkim98/coding_test","gathering of my coding test problems","Python","0",""
"font_gen_HSBombaram2","https://github.com/hunkim98/font_gen_HSBombaram2","hunkim98/font_gen_HSBombaram2","","Python","0",""
"qrcode-reader-template","https://github.com/hunkim98/qrcode-reader-template","hunkim98/qrcode-reader-template","QR code reader template ","TypeScript","0",""
"sketch-rnn","https://github.com/hunkim98/sketch-rnn","hunkim98/sketch-rnn","sketch-rnn","Jupyter Notebook","0",""
"genetic_algorithm","https://github.com/hunkim98/genetic_algorithm","hunkim98/genetic_algorithm","This is a record of my studies regarding genetic algorithms","TypeScript","0",""
"blog","https://github.com/hunkim98/blog","hunkim98/blog","this is Donghun Kim's blog","TypeScript","0",""
"pixel-create","https://github.com/hunkim98/pixel-create","hunkim98/pixel-create","This is an Saas for creating pixel characters and using it in web through api","TypeScript","0",""
"pickle-notion","https://github.com/hunkim98/pickle-notion","hunkim98/pickle-notion","pickle-notion","TypeScript","0",""
"dataviz_future_frontiers","https://github.com/hunkim98/dataviz_future_frontiers","hunkim98/dataviz_future_frontiers","","TypeScript","0",""
"kandinsky2","https://github.com/hunkim98/kandinsky2","hunkim98/kandinsky2","kandinsky2","Jupyter Notebook","0",""
"sketch-rnn-torch","https://github.com/hunkim98/sketch-rnn-torch","hunkim98/sketch-rnn-torch","sketch rnn torch","Jupyter Notebook","0",""
"skt-quizrally","https://github.com/hunkim98/skt-quizrally","hunkim98/skt-quizrally","","TypeScript","0",""
"upbit-next-proxy","https://github.com/hunkim98/upbit-next-proxy","hunkim98/upbit-next-proxy","","TypeScript","0",""
"test","https://github.com/hunkim98/test","hunkim98/test","","TypeScript","0",""
"font_gen_Agbalumo-Regular","https://github.com/hunkim98/font_gen_Agbalumo-Regular","hunkim98/font_gen_Agbalumo-Regular","Generation for Agbalumo-Regular","Python","0",""
"kiosk_unity_template","https://github.com/hunkim98/kiosk_unity_template","hunkim98/kiosk_unity_template","kiosk_unity_template","C#","0",""
"pickgeul_ai","https://github.com/hunkim98/pickgeul_ai","hunkim98/pickgeul_ai","This is an ai repository for pickgeul","Jupyter Notebook","0",""
